Country,Code,2017,2018
Aruba,ABW,76.01,76.152
Afghanistan,AFG,64.13,64.486
Angola,AGO,60.379,60.782
Albania,ALB,78.333,78.458
Andorra,AND,,
Arab World,ARB,71.62252635,71.80682516
United Arab Emirates,ARE,77.647,77.814
Argentina,ARG,76.372,76.52
Armenia,ARM,74.797,74.945
American Samoa,ASM,,
Antigua and Barbuda,ATG,76.752,76.885
Australia,AUS,82.5,82.74878049
Austria,AUT,81.64390244,81.69268293
Azerbaijan,AZE,72.693,72.864
Burundi,BDI,60.898,61.247
Belgium,BEL,81.49268293,81.59512195
Benin,BEN,61.174,61.47
Burkina Faso,BFA,60.768,61.174
Bangladesh,BGD,72.052,72.32
Bulgaria,BGR,74.81463415,74.96341463
Bahrain,BHR,77.032,77.163
"Bahamas, The",BHS,73.554,73.752
Bosnia and Herzegovina,BIH,77.128,77.262
Belarus,BLR,74.12926829,74.17560976
Belize,BLZ,74.365,74.496
Bermuda,BMU,81.44195122,81.65170732
Bolivia,BOL,70.945,71.239
Brazil,BRA,75.456,75.672
Barbados,BRB,78.981,79.081
Brunei Darussalam,BRN,75.585,75.722
Bhutan,BTN,71.129,71.46
Botswana,BWA,68.812,69.275
Central African Republic,CAF,52.24,52.805
Canada,CAN,81.94878049,81.94878049
Central Europe and the Baltics,CEB,76.94746535,76.97684517
Switzerland,CHE,83.55121951,83.75365854
Channel Islands,CHI,82.766,82.928
Chile,CHL,79.909,80.042
China,CHN,76.47,76.704
Cote d'Ivoire,CIV,57.017,57.422
Cameroon,CMR,58.511,58.921
"Congo, Dem. Rep.",COD,60.026,60.368
"Congo, Rep.",COG,63.954,64.29
Colombia,COL,76.925,77.109
Comoros,COM,63.912,64.118
Cabo Verde,CPV,72.57,72.782
Costa Rica,CRI,79.914,80.095
Caribbean small states,CSS,73.51749249,73.63710777
Cuba,CUB,78.662,78.726
Curacao,CUW,78.01707317,
Cayman Islands,CYM,,
Cyprus,CYP,80.672,80.828
Czech Republic,CZE,78.97804878,79.02926829
Germany,DEU,80.99268293,80.89268293
Djibouti,DJI,65.893,66.582
Dominica,DMA,,
Denmark,DNK,81.10243902,80.95365854
Dominican Republic,DOM,73.689,73.892
Algeria,DZA,76.499,76.693
East Asia & Pacific (excluding high income),EAP,74.9949516,75.21051211
Early-demographic dividend,EAR,70.25420448,70.48319068
East Asia & Pacific,EAS,75.86595391,76.06833643
Europe & Central Asia (excluding high income),ECA,73.41270948,73.59078153
Europe & Central Asia,ECS,77.7854252,77.90860669
Ecuador,ECU,76.584,76.8
"Egypt, Arab Rep.",EGY,71.656,71.825
Euro area,EMU,81.93221523,82.05961728
Eritrea,ERI,65.538,65.941
Spain,ESP,83.28292683,83.43170732
Estonia,EST,78.09268293,78.24390244
Ethiopia,ETH,65.872,66.24
European Union,EUU,80.93065884,81.03440922
Fragile and conflict affected situations,FCS,61.20474902,61.49999958
Finland,FIN,81.63170732,81.73414634
Fiji,FJI,67.252,67.341
France,FRA,82.57560976,82.72439024
Faroe Islands,FRO,82.29756098,82.54878049
"Micronesia, Fed. Sts.",FSM,67.618,67.755
Gabon,GAB,65.839,66.187
United Kingdom,GBR,81.25609756,81.25609756
Georgia,GEO,73.414,73.6
Ghana,GHA,63.463,63.78
Gibraltar,GIB,,
Guinea,GIN,60.706,61.185
"Gambia, The",GMB,61.44,61.735
Guinea-Bissau,GNB,57.673,58.003
Equatorial Guinea,GNQ,58.061,58.402
Greece,GRC,81.28780488,81.78780488
Grenada,GRD,72.388,72.384
Greenland,GRL,,
Guatemala,GTM,73.81,74.063
Guam,GUM,79.631,79.859
Guyana,GUY,69.624,69.774
High income,HIC,80.58546545,80.65610468
"Hong Kong SAR, China",HKG,84.6804878,84.93414634
Honduras,HND,74.898,75.088
Heavily indebted poor countries (HIPC),HPC,62.7486826,63.1350064
Croatia,HRV,77.82682927,78.07073171
Haiti,HTI,63.29,63.66
Hungary,HUN,75.81707317,76.06585366
IBRD only,IBD,73.20007252,73.40486714
IDA & IBRD total,IBT,70.86400662,71.07172639
IDA total,IDA,63.93647608,64.24780047
IDA blend,IDB,61.88904078,62.16175014
Indonesia,IDN,71.282,71.509
IDA only,IDX,64.97303361,65.30409152
Isle of Man,IMN,,
India,IND,69.165,69.416
Not classified,INX,,
Ireland,IRL,82.15609756,82.25609756
"Iran, Islamic Rep.",IRN,76.271,76.479
Iraq,IRQ,70.294,70.454
Iceland,ISL,82.66097561,82.86097561
Israel,ISR,82.55121951,82.80243902
Italy,ITA,82.94634146,83.34634146
Jamaica,JAM,74.267,74.368
Jordan,JOR,74.292,74.405
Japan,JPN,84.0997561,84.21097561
Kazakhstan,KAZ,72.95,73.15
Kenya,KEN,65.909,66.342
Kyrgyz Republic,KGZ,71.2,71.4
Cambodia,KHM,69.289,69.57
Kiribati,KIR,67.851,68.116
St. Kitts and Nevis,KNA,,
"Korea, Rep.",KOR,82.62682927,82.62682927
Kuwait,KWT,75.311,75.398
Latin America & Caribbean (excluding high income),LAC,75.08520392,75.24607612
Lao PDR,LAO,67.277,67.61
Lebanon,LBN,78.833,78.875
Liberia,LBR,63.295,63.73
Libya,LBY,72.52,72.724
St. Lucia,LCA,75.907,76.057
Latin America & Caribbean,LCN,75.28213592,75.44091549
Least developed countries: UN classification,LDC,64.70773022,65.03962412
Low income,LIC,63.13889301,63.49633875
Liechtenstein,LIE,83.74634146,83.04146341
Sri Lanka,LKA,76.648,76.812
Lower middle income,LMC,68.19326853,68.42246909
Low & middle income,LMY,70.78783627,70.99880759
Lesotho,LSO,52.947,53.705
Late-demographic dividend,LTE,76.01415346,76.2244389
Lithuania,LTU,75.4804878,75.6804878
Luxembourg,LUX,82.09512195,82.29512195
Latvia,LVA,74.62926829,74.78292683
"Macao SAR, China",MAC,83.989,84.118
St. Martin (French part),MAF,79.72195122,79.87073171
Morocco,MAR,76.218,76.453
Monaco,MCO,,
Moldova,MDA,71.717,71.808
Madagascar,MDG,66.311,66.681
Maldives,MDV,78.325,78.627
Middle East & North Africa,MEA,73.89990828,74.08890926
Mexico,MEX,74.947,74.992
Marshall Islands,MHL,,
Middle income,MIC,71.64736685,71.8546144
North Macedonia,MKD,75.589,75.688
Mali,MLI,58.452,58.893
Malta,MLT,82.34634146,82.44878049
Myanmar,MMR,66.558,66.867
Middle East & North Africa (excluding high income),MNA,73.39427025,73.58735821
Montenegro,MNE,76.667,76.77
Mongolia,MNG,69.509,69.689
Northern Mariana Islands,MNP,,
Mozambique,MOZ,59.309,60.163
Mauritania,MRT,64.464,64.704
Mauritius,MUS,74.51463415,74.41634146
Malawi,MWI,63.279,63.798
Malaysia,MYS,75.828,75.997
North America,NAC,78.88413429,78.88689055
Namibia,NAM,63.021,63.373
New Caledonia,NCL,77.14878049,77.14878049
Niger,NER,61.599,62.024
Nigeria,NGA,53.95,54.332
Nicaragua,NIC,74.068,74.275
Netherlands,NLD,81.76097561,81.81219512
Norway,NOR,82.6097561,82.75853659
Nepal,NPL,70.169,70.478
Nauru,NRU,,
New Zealand,NZL,81.65853659,81.85853659
OECD members,OED,80.00633468,80.07755674
Oman,OMN,77.393,77.633
Other small states,OSS,68.22875917,68.5469317
Pakistan,PAK,66.947,67.114
Panama,PAN,78.149,78.329
Peru,PER,76.286,76.516
Philippines,PHL,70.952,71.095
Palau,PLW,,
Papua New Guinea,PNG,64.01,64.263
Poland,POL,77.75365854,77.60243902
Pre-demographic dividend,PRE,60.42746691,60.8209563
Puerto Rico,PRI,79.63453659,79.77819512
